Employee_ID,Name,Department,Role_Title,Age,Gender,Tenure_Years,Engagement_Score,Workload_Score,Exit_Interview_Feedback,Reason_For_Turnover,Knowledge_Dependency_Level,Key_Project_Participation,Productivity_Impact_Score,Performance_Score,Internal_Mobility_Participation,Learning_Development_Plan,Remote_Work_Status,Flexibility_Satisfaction,Recognition_Received,Predicted_Turnover_Risk,Retention_Action_Taken,Last_Engagement_Check,Voluntary_Turnover
1001,Employee_1001,Marketing,Executive,45,Female,17.7,0.44,0.7,Cultural Issues,Burnout,Medium,FALSE,4,2.9,FALSE,FALSE,FALSE,10,9,Medium,Promotion Offered,1/1/2024,TRUE
1002,Employee_1002,Sales,Analyst,23,Female,12.3,0.36,0.37,Burnout,Relocation,High,TRUE,5,3.1,TRUE,TRUE,TRUE,10,5,High,None,1/2/2024,FALSE
1003,Employee_1003,HR,Executive,41,Female,17.3,0.3,0.95,Lack of Growth,Compensation,Low,FALSE,0,4.4,TRUE,TRUE,TRUE,9,4,High,Mentorship,1/3/2024,TRUE
1004,Employee_1004,Sales,Executive,55,Non-binary,0.8,0.39,0.54,Cultural Issues,Better Opportunity,High,FALSE,7,2.2,FALSE,TRUE,FALSE,10,8,Medium,Training,1/4/2024,TRUE
1005,Employee_1005,Sales,Executive,47,Female,2.6,0.71,1,Lack of Growth,Compensation,Low,TRUE,10,4,TRUE,FALSE,FALSE,7,12,Medium,Mentorship,1/5/2024,FALSE
1006,Employee_1006,Finance,Analyst,28,Non-binary,2.3,0.56,0.99,Lack of Growth,Relocation,Low,TRUE,2,2.7,FALSE,FALSE,TRUE,7,12,Medium,Salary Adjustment,1/6/2024,FALSE
1007,Employee_1007,HR,Analyst,59,Female,14.4,0.64,0.85,Work-Life Balance,Personal Reasons,High,FALSE,6,3.1,TRUE,FALSE,TRUE,6,14,Medium,Promotion Offered,1/7/2024,FALSE
1008,Employee_1008,HR,Intern,51,Male,1.9,0.3,0.31,Work-Life Balance,Compensation,Medium,TRUE,6,2,TRUE,TRUE,TRUE,9,12,High,Training,1/8/2024,TRUE
1009,Employee_1009,HR,Manager,26,Male,10.2,0.84,0.68,Management Conflict,Better Opportunity,Medium,FALSE,8,2.9,FALSE,FALSE,TRUE,6,1,High,Promotion Offered,1/9/2024,TRUE
1010,Employee_1010,Sales,Manager,32,Female,9.7,0.83,0.36,Management Conflict,Better Opportunity,Low,TRUE,10,2.5,FALSE,TRUE,FALSE,8,5,High,None,1/10/2024,TRUE
1011,Employee_1011,Marketing,Intern,22,Male,6.6,0.22,0.93,Work-Life Balance,Personal Reasons,Medium,TRUE,10,3.5,FALSE,FALSE,FALSE,9,12,Medium,Promotion Offered,1/11/2024,TRUE
1012,Employee_1012,HR,Intern,55,Non-binary,17.5,0.51,0.85,Work-Life Balance,Better Opportunity,Low,TRUE,6,2.5,FALSE,FALSE,FALSE,10,9,High,Mentorship,1/12/2024,TRUE
1013,Employee_1013,Operations,Lead,22,Male,3.8,0.26,0.98,Lack of Growth,Relocation,Medium,TRUE,7,4.5,TRUE,FALSE,TRUE,8,1,High,Mentorship,1/13/2024,FALSE
1014,Employee_1014,Sales,Executive,40,Male,7.4,0.83,0.73,Management Conflict,Compensation,Medium,FALSE,3,4.6,TRUE,TRUE,FALSE,8,10,Low,Promotion Offered,1/14/2024,TRUE
1015,Employee_1015,Finance,Intern,23,Non-binary,15.6,0.79,0.67,Work-Life Balance,Better Opportunity,Medium,TRUE,9,4.5,TRUE,TRUE,FALSE,9,14,Low,None,1/15/2024,TRUE
1016,Employee_1016,Marketing,Senior Developer,42,Male,1.1,0.92,0.66,Cultural Issues,Compensation,Medium,TRUE,3,4.9,FALSE,TRUE,TRUE,6,7,Medium,None,1/16/2024,FALSE
1017,Employee_1017,Operations,Manager,41,Male,13.6,0.39,0.57,Cultural Issues,Burnout,High,TRUE,9,4.7,TRUE,TRUE,TRUE,7,7,Medium,Training,1/17/2024,FALSE
1018,Employee_1018,Operations,Intern,44,Female,16.4,0.57,0.63,Management Conflict,Compensation,High,FALSE,7,2.8,FALSE,TRUE,TRUE,6,4,Low,Mentorship,1/18/2024,TRUE
1019,Employee_1019,Finance,Senior Developer,42,Non-binary,18.7,0.35,0.74,Cultural Issues,Personal Reasons,High,FALSE,3,2.9,FALSE,TRUE,TRUE,7,14,High,Promotion Offered,1/19/2024,FALSE
1020,Employee_1020,Marketing,Senior Developer,45,Non-binary,17.6,0.5,0.95,Burnout,Relocation,Low,TRUE,3,3.6,FALSE,FALSE,TRUE,5,11,High,Training,1/20/2024,FALSE
1021,Employee_1021,Sales,Senior Developer,25,Female,6.7,0.62,0.72,Lack of Growth,Better Opportunity,High,TRUE,9,3.2,TRUE,TRUE,FALSE,7,9,Medium,Salary Adjustment,1/21/2024,TRUE
1022,Employee_1022,IT,Lead,33,Female,11.9,0.24,0.9,Management Conflict,Relocation,High,TRUE,2,4.9,TRUE,FALSE,TRUE,9,7,High,Training,1/22/2024,TRUE
1023,Employee_1023,Marketing,Lead,43,Male,2,0.77,0.9,Burnout,Compensation,High,TRUE,2,3,FALSE,FALSE,FALSE,7,4,High,Salary Adjustment,1/23/2024,FALSE
1024,Employee_1024,Finance,Senior Developer,41,Male,5.5,0.63,0.66,Work-Life Balance,Better Opportunity,Medium,FALSE,10,4.2,FALSE,FALSE,FALSE,5,3,Low,Salary Adjustment,1/24/2024,FALSE
1025,Employee_1025,Operations,Lead,39,Male,2.3,0.86,0.54,Burnout,Relocation,Medium,FALSE,3,3.7,FALSE,FALSE,TRUE,10,8,Low,Training,1/25/2024,FALSE
